date,model,model_key,period,in_training,knows_2024,action,confidence,reasoning,price,next_day_return,rsi,macd,conf_bin
2019-01-02,GPT-4o-mini,gpt-4o-mini,in_training,True,False,HOLD,70,"RSI is neutral, MACD is negative, and recent returns are mixed, indicating no strong signal to buy o",225.66012573242188,-2.3862620396349676,47.850893766533595,-2.3446373096863473,60-70
2019-01-03,GPT-4o-mini,gpt-4o-mini,in_training,True,False,HOLD,70,"RSI indicates potential oversold conditions, but MACD is negative and returns are declining, suggest",220.27528381347656,3.3495726401588266,37.00818807004796,-2.41797596286822,60-70
2019-01-04,GPT-4o-mini,gpt-4o-mini,in_training,True,False,HOLD,70,"RSI is neutral, MACD is slightly negative, and short-term returns are positive, indicating uncertain",227.653564453125,0.7884511442203479,53.622576282115524,-2.066550339759,60-70
2019-01-07,GPT-4o-mini,gpt-4o-mini,in_training,True,False,HOLD,70,"RSI is neutral and MACD is slightly negative, indicating no strong momentum for a buy. The short-ter",229.44850158691406,0.939547202369706,56.81948372559947,-1.752352187076338,60-70
2019-01-08,GPT-4o-mini,gpt-4o-mini,in_training,True,False,HOLD,70,"RSI is above 50 indicating potential upward momentum, but MACD is negative suggesting caution. Curre",231.60427856445312,0.467347782884886,60.58470669729976,-1.4106779842534585,60-70
2019-01-09,GPT-4o-mini,gpt-4o-mini,in_training,True,False,HOLD,70,"RSI is above 60 indicating potential overbought conditions, and MACD is negative suggesting bearish ",232.68667602539062,0.35276248423374845,62.48008355493418,-1.097278224518612,60-70
2019-01-10,GPT-4o-mini,gpt-4o-mini,in_training,True,False,HOLD,70,RSI is high but not overbought; MACD is negative indicating potential weakness; recent returns are m,233.50750732421875,0.038632574160568645,63.99506693590415,-0.8133639172516619,60-70
2019-01-11,GPT-4o-mini,gpt-4o-mini,in_training,True,False,HOLD,70,RSI is high but not overbought; MACD is negative indicating potential weakness; recent returns are m,233.59771728515625,-0.6101027757419497,64.17848346344113,-0.5813704358411423,60-70
2019-01-14,GPT-4o-mini,gpt-4o-mini,in_training,True,False,HOLD,70,"RSI is neutral, MACD is slightly negative, and recent returns show mixed performance. No clear buy s",232.1725311279297,1.1460824667534952,58.72510924244275,-0.4446117040406858,60-70
2019-01-15,GPT-4o-mini,gpt-4o-mini,in_training,True,False,HOLD,70,"RSI is above 65, indicating overbought conditions, and MACD is negative, suggesting potential weakne",234.8334197998047,0.24198762797478235,65.11157055495468,-0.23547758671244257,60-70
